S No,Website,Active Voice ,Passive Voice,
485,,Do people make whiskey in France?,Is whiskey made in France?,
486,,Is somebody looking after the children?,Are the children being looked after?,
487,,Has somebody sent the letters?,Has the letter been sent?,
488,,Did Michelangelo paint Mona Lisa?,Was Mona Lisa painted by Michelangelo?,
489,,Was somebody looking after you when you were ill?,Were you being looked after when you were ill?,
490,,Had somebody sold all the tickets by the time you got there?,Had all the tickets been sold by the time you got there?,
491,,Is somebody going to send out the invitations this week?,Are the invitations going to be sent out this week?,
492,,Will somebody invite you?,Will you be invited?,
493,,Will somebody have sent out the invitations by Friday?,Will the invitations have been sent out by Friday?,
494,,Can people keep this plant indoors?,Can this plant be kept indoors?,
495,http://www.ieslacreueta.es/download/apunts/apunts-angles/2_bachillerato/passive_voice/PASSIVES%20WITH%20ANSWER.pdf,People don't use this road very often.,This road isn't very often used.,
496,,They're building a new ring-road round the city.,A new ring-road is being built round the city. ,
497,,I didn't realize that somebody was recording our voice.,I didn't realize that our voice was being recorded.,
498,,They have changed the date of the meeting.,The date of the meeting has been changed. ,
499,,Brian told me that somebody had attacked and robbed him in the street.,Brian told me that he had been attacked and robbed in the street.,
500,,We clean the garages every day.,The garage is cleaned every day. ,
501,,Someone has given him a lot of money.,He has been given a lot of money.,
502,,The police arrested two hundred people.,Two hundred people were arrested by the police.,
503,,Paul wrote the words and John made the music.,The words were written by Paul and the music was made by John.,
504,,We check every car engine thoroughly.,Every car engine is thoroughly checked. ,
505,,We export this computer to seventy different countries.,This computer is exported to seventy different countries.,
506,,We opened the factory at nine o'clock.,The factory was opened at nine o'clock.,
507,,They send two million books to America every year.,Two million books are sent to America every year. ,
508,,Did he give you enough sugar?,Were you given enough sugar? ,
509,,No-one has ever taught the pupils to do that exercise.,The pupils have never been taught to do that exercise. ,
510,,John Hughes built the biggest sand castle in the world.,The biggest sand castle in the world was built by John Hughes.,
511,,They showed me the palace where the king lived.,I was shown the palace where the king lived.,
512,,Has anyone ever asked you to tell the story?,Have you ever been asked to tell the story? ,
513,,They watered the plants and swept the floor in my absence.,The plants were watered and the floor was swept in my absence.,
514,,The Scots drink more alcohol than the Irish.,More alcohol is drunk by the Scots than the Irish.,
515,,"Fortunately, they did not damage the machinery.","Fortunately, the machinery was not damaged.",
516,,They paid me a lot of money to do the job.,I was paid a lot of money to do the job.,
517,,Simon is painting the house and cleaning it.,The house is being painted and cleaned by Simon.,
518,,Harrison Ford played Deckerd in 'Blade Runner',Deckerd was played by Harrison Ford in 'Blade Runner',
519,,They have modernised the theatre.,The theatre has been modernised. ,
520,,Sanders and Company are building that house.,That house is being built by Sanders and Company.,
521,,You must obey these orders.,These orders must be obeyed. ,
522,,We keep the documents in this drawer.,The documents are kept in this drawer.,
523,,The director signed the letters.,The letters were signed by the director.,
524,,People have known it for a long time.,It has been known for a long time.,
525,,The rescuers carried the two cold and hungry children down the mountain and took them into a warm room.,The two cold and hungry children were carried down the mountain and taken into a warm room by the rescuers. ,
526,,They announced the arrival of the next plane over the loudspeakers.,The arrival of the next plane was announced over the loudspeakers.,
527,,Did anyone send you the photographs which they promised you?,Were you sent the photographs which you were promised?,
528,,They showed her carefully how to do it.,She was carefully shown how to do it. ,
529,,The doctor has ordered me a new diet.,I have been ordered a new diet by the doctor.,
530,,Look what they have given me!,Look what I have been given!,
531,,Poor John! A bus ran him down.,Poor John! He was run down by a bus.,
532,,Publishers are bringing out new puzzle magazines all the time.,New puzzle magazines are being brought out all the time.,
533,,We must sell everything before the end of the month.,Everything must be sold before the end of the month.,
534,,A man told us to wait outside.,We were told to wait outside.,
535,,Our own correspondent sent in this article.,This article was sent in by our own correspondent.,
536,,Someone has put the wrong headline on this report.,The wrong headline has been put on this report.,
537,,You can see her face in every gossip column in the country.,Her face can be seen in every gossip column in the country.,
538,,You have to see it to believe it.,It has to be seen to be believed.,
539,,They speak French at this shop. ,French is spoken at this shop. ,
540,,Somebody stole my car. ,My car was stolen. ,
541,,They have sent the books to the wrong address. ,The books have been sent to the wrong address. ,
542,,Somebody will bring the beer. ,The beer will be brought. ,
543,,Somebody has bought this fur coat. ,This fur coat has been bought.,
544,,Somebody has left this umbrella behind. ,This umbrella has been left behind. ,
545,,They haven't caught the robbers yet. ,The robbers haven't been caught yet. ,
546,,They don't drink ice-cold beer in England. ,Ice-cold beer is not drunk in England. ,
547,,They eat a lot of fish. ,A lot of fish is eaten. ,
548,,They drink tea with milk at least five times a day. ,Tea with milk is drunk at least five times a day. ,
549,,They discuss the weather every day. ,The weather is discussed every day. ,
550,,Some men robbed the Glasgow-London mail train in 1961. ,The Glasgow-London mail train was robbed in 1961. ,
551,,They stopped the train between two stations. ,The train was stopped between two stations. ,
552,,They disconnected the engine and the first two coaches. ,The engine and the first two coaches were disconnected. ,
553,,They drove them to a lonely bridge. ,They were driven to a lonely bridge. ,
554,,People discussed the mail robbery all over the world. ,The mail robbery was discussed all over the world. ,
555,,The police caught some of the robbers and found part of the money.. ,Some of the robbers were caught and part of the money was found. ,
556,,The court sentenced the men in January 1964. ,The men were sentenced in January 1964. ,
557,,Somebody will look after their children. ,Their children will be looked after. ,
558,,You have not paid for the car.,The car has not been paid for.,
559,https://ngl.cengage.com/assets/downloads/grcontext_pro0000000013/in_context_3_su.pdf, The children saw the movie.,The movie was seen by the children.,
560,,A committee chooses the winner.,The winner is chosen by a committee.,
561,,They are presenting an award now.,An award is being presented now.,
562,,They will pick the best movie.,The best movie will be picked.,
